char_ngram,language,count
w,yi,620
x,yi,456
y,yi,928
z,yi,202
a,pt,5094972
b,pt,450329
c,pt,1529747
d,pt,2126855
e,pt,5367736
f,pt,445126
g,pt,505648
h,pt,414944
i,pt,2703105
j,pt,133366
k,pt,45337
l,pt,1157206
m,pt,2010225
n,pt,2200066
o,pt,4573552
p,pt,1193822
q,pt,489989
r,pt,2883569
s,pt,3518368
t,pt,2185073
u,pt,1783429
v,pt,625824
w,pt,25190
x,pt,112373
y,pt,43498
z,pt,178075
a,ps,10518
b,ps,3386
c,ps,5795
d,ps,5128
e,ps,13762
f,ps,2206
g,ps,2390
h,ps,2995
i,ps,7759
j,ps,231
k,ps,2332
l,ps,6899
m,ps,5537
n,ps,8542
o,ps,9951
p,ps,4175
q,ps,109
r,ps,7051
s,ps,12165
t,ps,10860
u,ps,3079
v,ps,1099
w,ps,1185
x,ps,981
y,ps,2020
z,ps,347
a,my,3389
b,my,1202
c,my,1899
d,my,1991
e,my,3688
f,my,1184
g,my,1331
h,my,900
i,my,3383
j,my,210
k,my,508
l,my,1831
m,my,1804
n,my,2367
o,my,2771
p,my,1448
q,my,50
r,my,2636
s,my,4912
t,my,2593
u,my,1230
v,my,512
w,my,484
x,my,259
y,my,450
z,my,89
a,gl,1891699
b,gl,201502
c,gl,655402
d,gl,739608
e,gl,1887325
f,gl,178561
g,gl,183950
h,gl,153922
i,gl,962232
j,gl,7991
k,gl,37053
l,gl,508756
m,gl,510895
n,gl,1121005
o,gl,1618362
p,gl,429658
q,gl,169860
r,gl,1097965
s,gl,1136418
t,gl,776370
u,gl,589634
v,gl,192238
w,gl,18204
x,gl,137992
y,gl,24915
z,gl,57286
a,ha,1791991
b,ha,175549
c,ha,107857
d,ha,254903
e,ha,223910
f,ha,64379
g,ha,140471
h,ha,150380
i,ha,560546
j,ha,42179
k,ha,448327
l,ha,217907
m,ha,338545
n,ha,627735
o,ha,50068
p,ha,1368
q,ha,216
r,ha,218687
s,ha,360702
t,ha,187164
u,ha,482545
v,ha,214
w,ha,170984
x,ha,478
y,ha,217786
z,ha,58744
a,kn,6450
b,kn,1147
c,kn,3308
d,kn,2272
e,kn,9061
f,kn,1234
g,kn,1314
h,kn,1930
i,kn,4673
j,kn,155
k,kn,1093
l,kn,2697
m,kn,5487
n,kn,7103
o,kn,5476
p,kn,1844
q,kn,260
r,kn,3921
s,kn,4114
t,kn,5974
u,kn,1693
